GO:1990193 GO:1990191
GO:0036094 GO:0038185
GO:0036094 GO:0106219
GO:0036094 GO:0016530
GO:0036094 GO:0048306
GO:0036094 GO:0038186
GO:0036094 GO:0120020
GO:0036094 GO:0120285
GO:0036094 GO:0120286
GO:0036094 GO:0001699
GO:0036094 GO:0061762
GO:0036094 GO:0019826
GO:0036094 GO:0070915
GO:0036094 GO:0004690
GO:0036094 GO:0005220
GO:0036094 GO:0004993
GO:0036094 GO:0097063
GO:0036094 GO:0005344
GO:0036094 GO:0036349
GO:0036094 GO:0004953
GO:0036094 GO:0004952
GO:0036094 GO:0061714
GO:0036094 GO:0035991
GO:0036094 GO:0004679
GO:0036094 GO:0141089
GO:0036094 GO:0015464
GO:0036094 GO:0095500
GO:0036094 GO:0070027
GO:0036094 GO:0036350
GO:0036094 GO:0016502
GO:0036094 GO:0061891
GO:0036094 GO:0120019
GO:0036094 GO:0008066
GO:0036094 GO:0007215
GO:0036094 GO:0140487
GO:0036094 GO:0097077
GO:0036094 GO:0098664
GO:0036094 GO:0035643
GO:0036094 GO:0004969
GO:0036094 GO:0038199
GO:1990161 GO:1990159
GO:1990161 GO:1990158
GO:1990161 GO:1990157
GO:1990161 GO:1990156
GO:1990161 GO:1990100
GO:1990161 GO:1990160
GO:0014069 GO:0032279
GO:0014069 GO:0044327
GO:0006399 GO:0006434
GO:0006396 GO:0006434
GO:0006396 GO:0071036
GO:1990121 GO:0097495
GO:1990121 GO:0036411
GO:1990101 GO:1990102
GO:1990101 GO:0036389
GO:1990100 GO:1990159
GO:1990100 GO:1990158
GO:1990100 GO:1990157
GO:1990100 GO:1990160
GO:0008982 GO:0019657
GO:0008982 GO:0036008
GO:0008982 GO:0061633
GO:0090304 GO:0039692
GO:0090304 GO:0007534
GO:0090304 GO:0006434
GO:0090304 GO:0022616
GO:0090304 GO:0039703
GO:0090304 GO:0071030
GO:0090304 GO:0006260
GO:0090304 GO:0039688
GO:0090304 GO:0071031
GO:0090304 GO:0098039
GO:0090304 GO:1990426
GO:0090304 GO:0071036
GO:0006325 GO:0031507
GO:0006312 GO:1990426
GO:0006310 GO:1990426
GO:0097367 GO:0001877
GO:0097367 GO:0001646
GO:0097367 GO:0001875
GO:0097367 GO:0001621
GO:0097367 GO:0016019
GO:0097367 GO:0061762
GO:0097367 GO:0070915
GO:0097367 GO:0004692
GO:0097367 GO:0004691
GO:0097367 GO:0039638
GO:0097367 GO:0004679
GO:0097367 GO:0070892
GO:0097367 GO:0017089
GO:0001932 GO:0031952
GO:0001933 GO:0031953
GO:0071051 GO:0071036
GO:0007039 GO:0043162
GO:0007039 GO:0090611
GO:0071047 GO:0071030
GO:0071047 GO:0071031
GO:0071042 GO:0071030
GO:0071042 GO:0071031
GO:0007049 GO:0000769
GO:0007049 GO:0009555
GO:0071024 GO:0071023
GO:0071009 GO:0071016
GO:0071002 GO:0071009
GO:0071002 GO:0071016
GO:0071001 GO:0046540
GO:0071001 GO:0071005
GO:0071001 GO:0071003
GO:0001876 GO:0001877
GO:0001856 GO:0004878
GO:0001855 GO:0001861
GO:0001849 GO:0001857
GO:0001848 GO:0004875
GO:0001845 GO:0090382
GO:1990060 GO:1990154
GO:0001819 GO:0002753
GO:0006274 GO:0007534
GO:0006270 GO:0042023
GO:0006260 GO:0098039
GO:0047936 GO:0061679
GO:0047929 GO:0061679
GO:0047926 GO:0046211
GO:0032559 GO:0001646
GO:0032559 GO:0001621
GO:0032559 GO:0061762
GO:0032559 GO:0004679
GO:0032559 GO:0004691
GO:0032555 GO:0001646
GO:0032555 GO:0001621
GO:0032555 GO:0061762
GO:0032555 GO:0004679
GO:0032555 GO:0004692
GO:0032555 GO:0004691
GO:0032553 GO:0001646
GO:0032553 GO:0001621
GO:0032553 GO:0061762
GO:0032553 GO:0004679
GO:0032553 GO:0004692
GO:0032553 GO:0004691
GO:0039706 GO:0046814
GO:0032502 GO:0007369
GO:0032502 GO:0009555
GO:0032502 GO:0007304
GO:0032502 GO:0001655
GO:0032502 GO:0042060
GO:0018989 GO:0035209
GO:0001790 GO:0001792
GO:0007188 GO:0140676
GO:0007189 GO:0140676
GO:0001739 GO:0001741
GO:0001739 GO:0001740
GO:0001717 GO:0006434
GO:0001707 GO:0007369
GO:0001706 GO:0007369
GO:0001705 GO:0007369
GO:0001704 GO:0007369
GO:0006195 GO:0019660
GO:0002790 GO:0036162
GO:0047850 GO:0033361
GO:0006164 GO:0009777
GO:0006164 GO:0006119
GO:0006163 GO:0009777
GO:0006163 GO:0006119
GO:0006163 GO:0019660
GO:0006163 GO:0006098
GO:0006140 GO:0007199
GO:0047801 GO:0019456
GO:0042009 GO:0042010
GO:0032446 GO:0006511
GO:0032446 GO:0061857
GO:0032432 GO:0151001
GO:0032432 GO:0005903
GO:0032432 GO:0005902
GO:0042017 GO:0042018
GO:0042019 GO:0042020
GO:0032420 GO:0032421
GO:0090599 GO:0061705
GO:0090599 GO:0061706
GO:1903503 GO:1990509
GO:0007268 GO:0007212
GO:0007268 GO:0019226
GO:0007269 GO:0098814
GO:0001817 GO:0002753
GO:0042073 GO:0060271
GO:0120036 GO:0097194
