protein_id	protein_name	integration_date	taxon_id	taxon_id_matched
AGRG1_DANRE	Adhesion G-protein coupled receptor G1 {ECO:0000305}	18-JUN-2025	7955	True
AMPL2_SOLLC	Leucine aminopeptidase A2, chloroplastic {ECO:0000303|PubMed:10787049}	27-NOV-2024	4081	True
AOIG_ASPOR	Non-reducing polyketide synthase aoiG {ECO:0000303|PubMed:22447538}	09-APR-2025	510516	True
AOIH_ASPOR	Zn(2)-C6 fungal-type trascription factor aoiH {ECO:0000303|PubMed:22447538}	09-APR-2025	510516	True
ASB11_DANRE	Ankyrin repeat and SOCS box protein 11 {ECO:0000305}	24-JUL-2024	7955	True
BAHD1_SAPOF	BAHD acyltransferase 1 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
BAMS1_SAPOF	Beta-amyrin synthase 1 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
BEST2_BOVIN	Bestrophin-2 {ECO:0000303|PubMed:32251414}	29-MAY-2024	9913	True
BFD_PSEAE	Bacterioferritin-associated ferredoxin {ECO:0000303|PubMed:19575528}	02-OCT-2024	208964	True
BFRB_PSEAE	Bacterioferritin BfrB	02-OCT-2024	208964	True
BILR_CLOS6	Bilirubin reductase {ECO:0000303|PubMed:38172624}	29-MAY-2024	742740	True
BILR_MEDG5	Bilirubin reductase {ECO:0000303|PubMed:38172624}	29-MAY-2024	1073375	True
BRAT1_DROME	Integrator complex assembly factor Brat1 {ECO:0000305}	09-APR-2025	7227	True
C7168_SAPOF	Beta-amyrin 28-monooxygenase CYP716A378 {ECO:0000305}	18-JUN-2025	3572	True
C7169_SAPOF	Beta-amyrin 28-monooxygenase CYP716A379 {ECO:0000305}	18-JUN-2025	3572	True
C7284_SAPOF	Echinocystic acid 23-monooxygenase {ECO:0000305}	18-JUN-2025	3572	True
C74M1_SELML	Divinyl ether synthase CYP74M1 {ECO:0000303|PubMed:26776054}	18-JUN-2025	88036	True
C74M3_SELML	Divinyl ether synthase CYP74M3 {ECO:0000303|PubMed:26776054}	18-JUN-2025	88036	True
CAHM1_ORYLA	Calcium homeostasis modulator 1	29-MAY-2024	8090	True
CAS31_MEDTR	Dehydrin CAS31 {ECO:0000305}	29-MAY-2024	3880	True
CDHB_PSEAE	Betainyl-CoA thioesterase {ECO:0000305}	02-OCT-2024	208964	True
CHI_MONRR	chitinase-like effector {ECO:0000303|PubMed:30220500}	24-JUL-2024	221103	True
CHS5_ASPFU	Chitin synthase E {ECO:0000303|PubMed:7854320}	02-OCT-2024	330879	True
CHS5_EMENI	Chitin synthase csmA {ECO:0000303|PubMed:9223429}	02-OCT-2024	227321	True
CHSB_ASPOR	Chitin synthase B {ECO:0000303|PubMed:12480906}	02-OCT-2024	510516	True
CIROZ_XENTR	Ciliated left-right organizer protein containing ZP-N domains homolog	18-JUN-2025	8364	True
CL12B_MYCTU	Probable cellulase Cel12b {ECO:0000305}	29-MAY-2024	83332	True
CNGA3_RAT	Cyclic nucleotide-gated channel alpha-3	29-MAY-2024	10116	True
CNGB1_RAT	Cyclic nucleotide-gated channel beta-1	29-MAY-2024	10116	True
CO72L_DANRE	Cytochrome c oxidase subunit 7A2-like, mitochondrial {ECO:0000305}	27-NOV-2024	7955	True
